frame,cX,cY,area,minI,maxI,meanI,video,time,cX_original
59012,468,163,4.5,118.0,181.0,252.1111111111111,D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part04.mp4,1900-01-01 19:10:21.200,768
59013,468,163,7.0,127.0,181.0,252.61538461538464,D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part04.mp4,1900-01-01 19:10:21.300,768
59011,468,161,1.5,114.0,150.0,163.0,D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part04.mp4,1900-01-01 19:10:21.100,768
59014,469,162,11.0,114.0,179.0,239.2222222222222,D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part04.mp4,1900-01-01 19:10:21.400,769
59021,470,161,7.0,111.0,173.0,250.0769230769231,D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part04.mp4,1900-01-01 19:10:22.100,770
59020,470,162,8.5,122.0,177.0,248.06666666666663,D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part04.mp4,1900-01-01 19:10:22.000,770
59017,470,162,6.5,129.0,179.0,253.7692307692308,D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part04.mp4,1900-01-01 19:10:21.700,770
59016,469,162,10.0,121.0,175.0,248.64705882352945,D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part04.mp4,1900-01-01 19:10:21.600,769
59019,470,162,8.5,115.0,176.0,249.8,D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part04.mp4,1900-01-01 19:10:21.900,770
59015,469,163,11.5,118.0,179.0,244.68421052631575,D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part04.mp4,1900-01-01 19:10:21.500,769
59018,470,162,7.5,114.0,179.0,247.57142857142856,D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part04.mp4,1900-01-01 19:10:21.800,770
59028,472,161,1.5,112.0,162.0,245.0,D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part04.mp4,1900-01-01 19:10:22.800,772
59025,472,161,3.0,128.0,177.0,242.875,D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part04.mp4,1900-01-01 19:10:22.500,772
59022,471,161,7.0,122.0,178.0,239.0769230769231,D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part04.mp4,1900-01-01 19:10:22.200,771
59024,471,161,6.5,120.0,171.0,223.46153846153848,D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part04.mp4,1900-01-01 19:10:22.400,771
59023,471,161,9.5,113.0,178.0,227.3125,D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part04.mp4,1900-01-01 19:10:22.300,771
59026,472,160,3.0,119.0,169.0,216.0,D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part04.mp4,1900-01-01 19:10:22.600,772
59029,472,161,1.5,115.0,150.0,248.2,D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part04.mp4,1900-01-01 19:10:22.900,772
59027,472,160,4.5,125.0,178.0,217.88888888888889,D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part04.mp4,1900-01-01 19:10:22.700,772
59033,473,160,3.0,119.0,168.0,188.7142857142857,D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part04.mp4,1900-01-01 19:10:23.300,773
59031,473,159,4.0,116.0,170.0,191.88888888888889,D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part04.mp4,1900-01-01 19:10:23.100,773
59034,474,159,2.5,111.0,160.0,184.85714285714283,D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part04.mp4,1900-01-01 19:10:23.400,774
59035,474,159,3.5,113.0,171.0,183.375,D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part04.mp4,1900-01-01 19:10:23.500,774
59036,474,158,1.5,117.0,166.0,248.0,D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part04.mp4,1900-01-01 19:10:23.600,774
59032,473,160,3.5,130.0,167.0,189.625,D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part04.mp4,1900-01-01 19:10:23.200,773
59030,473,160,1.5,116.0,133.0,252.0,D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part04.mp4,1900-01-01 19:10:23.000,773
59044,475,158,2.0,120.0,160.0,154.33333333333331,D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part04.mp4,1900-01-01 19:10:24.400,775
