frame,cX,cY,area,minI,maxI,meanI,video,time,cX_original
60287,1114,200,4.0,120.0,176.0,237.2222222222222,D:\AprPanama2025_fixed\041425_experimental\041425PA_experimental_part04.mp4,1900-01-01 19:20:28.700,1394
60288,1114,201,1.5,113.0,127.0,169.60000000000002,D:\AprPanama2025_fixed\041425_experimental\041425PA_experimental_part04.mp4,1900-01-01 19:20:28.800,1394
60325,1020,228,13.5,116.0,179.0,239.57142857142856,D:\AprPanama2025_fixed\041425_experimental\041425PA_experimental_part04.mp4,1900-01-01 19:20:32.500,1300
60323,1019,227,9.0,119.0,177.0,223.25,D:\AprPanama2025_fixed\041425_experimental\041425PA_experimental_part04.mp4,1900-01-01 19:20:32.300,1299
60324,1020,228,12.5,117.0,179.0,245.75,D:\AprPanama2025_fixed\041425_experimental\041425PA_experimental_part04.mp4,1900-01-01 19:20:32.400,1300
60326,1020,228,13.0,112.0,179.0,247.13636363636363,D:\AprPanama2025_fixed\041425_experimental\041425PA_experimental_part04.mp4,1900-01-01 19:20:32.600,1300
60328,1019,229,9.0,112.0,179.0,254.2941176470588,D:\AprPanama2025_fixed\041425_experimental\041425PA_experimental_part04.mp4,1900-01-01 19:20:32.800,1299
60327,1020,229,12.5,116.0,178.0,247.8421052631579,D:\AprPanama2025_fixed\041425_experimental\041425PA_experimental_part04.mp4,1900-01-01 19:20:32.700,1300
60329,1018,229,5.0,114.0,172.0,245.91666666666663,D:\AprPanama2025_fixed\041425_experimental\041425PA_experimental_part04.mp4,1900-01-01 19:20:32.900,1298
60330,1019,229,5.0,113.0,175.0,245.25,D:\AprPanama2025_fixed\041425_experimental\041425PA_experimental_part04.mp4,1900-01-01 19:20:33.000,1299
62451,703,92,19.0,114.0,179.0,239.0967741935484,D:\AprPanama2025_fixed\041425_experimental\041425PA_experimental_part04.mp4,1900-01-01 19:24:05.100,983
62450,702,90,6.5,125.0,178.0,249.6923076923077,D:\AprPanama2025_fixed\041425_experimental\041425PA_experimental_part04.mp4,1900-01-01 19:24:05.000,982
62452,703,92,21.5,115.0,179.0,248.9705882352941,D:\AprPanama2025_fixed\041425_experimental\041425PA_experimental_part04.mp4,1900-01-01 19:24:05.200,983
62453,703,92,25.5,111.0,179.0,251.75,D:\AprPanama2025_fixed\041425_experimental\041425PA_experimental_part04.mp4,1900-01-01 19:24:05.300,983
62456,704,93,32.0,126.0,179.0,250.91489361702128,D:\AprPanama2025_fixed\041425_experimental\041425PA_experimental_part04.mp4,1900-01-01 19:24:05.600,984
62461,703,92,30.0,117.0,179.0,249.4,D:\AprPanama2025_fixed\041425_experimental\041425PA_experimental_part04.mp4,1900-01-01 19:24:06.100,983
62461,1241,155,4.5,111.0,177.0,232.9090909090909,D:\AprPanama2025_fixed\041425_experimental\041425PA_experimental_part04.mp4,1900-01-01 19:24:06.100,1521
62460,703,92,25.5,119.0,179.0,249.325,D:\AprPanama2025_fixed\041425_experimental\041425PA_experimental_part04.mp4,1900-01-01 19:24:06.000,983
62459,703,92,28.0,123.0,179.0,249.88372093023256,D:\AprPanama2025_fixed\041425_experimental\041425PA_experimental_part04.mp4,1900-01-01 19:24:05.900,983
62457,704,93,32.5,114.0,179.0,252.35416666666663,D:\AprPanama2025_fixed\041425_experimental\041425PA_experimental_part04.mp4,1900-01-01 19:24:05.700,984
62455,704,93,33.5,111.0,179.0,249.34693877551015,D:\AprPanama2025_fixed\041425_experimental\041425PA_experimental_part04.mp4,1900-01-01 19:24:05.500,984
62458,704,93,33.5,114.0,179.0,250.4081632653061,D:\AprPanama2025_fixed\041425_experimental\041425PA_experimental_part04.mp4,1900-01-01 19:24:05.800,984
62454,704,93,33.5,113.0,179.0,251.24489795918365,D:\AprPanama2025_fixed\041425_experimental\041425PA_experimental_part04.mp4,1900-01-01 19:24:05.400,984
62465,703,91,19.0,113.0,179.0,246.86666666666667,D:\AprPanama2025_fixed\041425_experimental\041425PA_experimental_part04.mp4,1900-01-01 19:24:06.500,983
62466,703,91,17.5,120.0,179.0,243.67857142857144,D:\AprPanama2025_fixed\041425_experimental\041425PA_experimental_part04.mp4,1900-01-01 19:24:06.600,983
