frame,cX,cY,area,minI,maxI,meanI,video,time,cX_original
42977,542,29,2.0,123.0,176.0,225.8333333333333,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:04:37.700,562
43234,512,25,4.0,117.0,178.0,252.7,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:05:03.400,532
43235,512,26,6.5,111.0,172.0,236.7692307692308,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:05:03.500,532
43233,512,25,4.0,117.0,177.0,240.8,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:05:03.300,532
43238,512,26,6.5,111.0,172.0,236.7692307692308,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:05:03.800,532
43237,512,26,6.5,111.0,172.0,236.7692307692308,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:05:03.700,532
43236,512,26,6.5,111.0,172.0,236.7692307692308,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:05:03.600,532
43239,512,26,6.5,123.0,177.0,233.7692307692308,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:05:03.900,532
43242,512,25,5.5,112.0,175.0,238.0,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:05:04.200,532
43240,512,26,6.5,123.0,177.0,233.7692307692308,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:05:04.000,532
43241,512,25,6.5,119.0,174.0,232.0,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:05:04.100,532
43243,512,25,5.5,112.0,171.0,233.23076923076923,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:05:04.300,532
43246,512,25,4.0,122.0,169.0,239.9090909090909,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:05:04.600,532
43244,512,25,5.5,112.0,174.0,227.92307692307693,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:05:04.400,532
43245,512,25,4.0,117.0,172.0,241.27272727272728,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:05:04.500,532
43248,512,25,5.0,115.0,179.0,231.25,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:05:04.800,532
43249,512,25,3.5,118.0,168.0,235.6,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:05:04.900,532
43247,512,26,2.0,127.0,169.0,247.8333333333333,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:05:04.700,532
43250,512,26,1.5,144.0,158.0,234.4,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:05:05.000,532
43260,512,24,2.5,135.0,158.0,254.85714285714283,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:05:06.000,532
44396,36,200,3.0,121.0,162.0,128.75,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:06:59.600,56
44397,36,200,3.0,117.0,148.0,148.42857142857142,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:06:59.700,56
44397,27,200,14.0,125.0,179.0,237.2173913043478,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:06:59.700,47
44398,36,200,2.0,122.0,146.0,145.0,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:06:59.800,56
44398,26,200,15.0,112.0,179.0,243.0833333333333,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:06:59.800,46
44404,27,199,7.0,128.0,179.0,235.0769230769231,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:00.400,47
44402,27,199,7.5,121.0,179.0,235.14285714285717,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:00.200,47
44403,27,199,7.0,113.0,176.0,230.53846153846155,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:00.300,47
44406,26,199,3.0,135.0,179.0,220.875,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:00.600,46
44399,36,200,3.0,112.0,139.0,132.7142857142857,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:06:59.900,56
44399,26,199,15.0,111.0,179.0,238.2173913043478,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:06:59.900,46
44400,35,200,2.5,113.0,143.0,151.5,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:00.000,55
44400,26,199,14.0,111.0,179.0,240.0909090909091,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:00.000,46
44401,26,199,8.5,122.0,177.0,242.9375,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:00.100,46
44405,26,199,4.5,122.0,178.0,233.4,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:00.500,46
44407,26,199,1.5,139.0,160.0,176.20000000000002,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:00.700,46
44598,551,64,12.5,122.0,179.0,237.57142857142856,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:19.800,571
44594,550,61,3.0,132.0,156.0,214.44444444444443,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:19.400,570
44595,551,63,12.0,118.0,179.0,240.35,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:19.500,571
44596,551,63,11.5,114.0,179.0,244.05,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:19.600,571
44597,551,63,13.5,115.0,179.0,247.5217391304348,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:19.700,571
44605,550,64,5.5,118.0,179.0,250.25,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:20.500,570
44603,550,63,5.5,134.0,179.0,253.92307692307693,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:20.300,570
44602,550,63,6.0,131.0,179.0,251.28571428571428,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:20.200,570
44601,550,63,6.0,131.0,178.0,254.14285714285717,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:20.100,570
44606,550,64,5.5,118.0,179.0,250.25,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:20.600,570
44600,550,63,9.0,112.0,175.0,242.41176470588235,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:20.000,570
44604,550,63,5.5,134.0,179.0,253.92307692307693,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:20.400,570
44599,550,63,9.0,112.0,175.0,242.41176470588235,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:19.900,570
44613,549,62,3.5,130.0,178.0,239.5,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:21.300,569
44611,549,62,3.5,141.0,179.0,247.875,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:21.100,569
44612,549,62,3.5,130.0,178.0,239.5,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:21.200,569
44614,549,62,3.5,130.0,178.0,239.5,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:21.400,569
44608,550,63,5.0,119.0,179.0,250.9,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:20.800,570
44609,550,63,5.0,112.0,179.0,244.3,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:20.900,570
44607,550,63,5.5,111.0,179.0,254.0,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:20.700,570
44610,550,63,5.0,112.0,179.0,244.3,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:21.000,570
44622,553,42,5.0,116.0,167.0,120.6,D:\AprPanama2025_fixed\041025_experimental\041025PA_experimental_part03.mp4,1900-01-01 19:07:22.200,573
