frame	cX	cY	area	minI	maxI	meanI	video
42536	1073	65	16.5	124.0	179.0	252.68	D:\AprPanama2025_fixed\041125_experimental\041125PA_experimental_part03.mp4
42537	1073	65	26.5	111.0	179.0	247.35135135135135	D:\AprPanama2025_fixed\041125_experimental\041125PA_experimental_part03.mp4
42539	1073	65	25.0	115.0	179.0	250.57142857142856	D:\AprPanama2025_fixed\041125_experimental\041125PA_experimental_part03.mp4
42538	1073	65	26.5	111.0	179.0	247.35135135135135	D:\AprPanama2025_fixed\041125_experimental\041125PA_experimental_part03.mp4
42535	1073	64	11.0	114.0	179.0	252.16666666666666	D:\AprPanama2025_fixed\041125_experimental\041125PA_experimental_part03.mp4
42545	1072	64	22.0	115.0	179.0	241.0	D:\AprPanama2025_fixed\041125_experimental\041125PA_experimental_part03.mp4
42547	1071	64	16.5	122.0	179.0	240.44	D:\AprPanama2025_fixed\041125_experimental\041125PA_experimental_part03.mp4
42540	1073	65	23.5	111.0	179.0	248.82857142857142	D:\AprPanama2025_fixed\041125_experimental\041125PA_experimental_part03.mp4
42542	1072	64	23.5	127.0	179.0	243.87878787878788	D:\AprPanama2025_fixed\041125_experimental\041125PA_experimental_part03.mp4
42543	1072	64	23.5	127.0	179.0	243.87878787878788	D:\AprPanama2025_fixed\041125_experimental\041125PA_experimental_part03.mp4
42544	1072	64	24.5	111.0	179.0	240.47058823529412	D:\AprPanama2025_fixed\041125_experimental\041125PA_experimental_part03.mp4
42546	1071	64	15.5	134.0	179.0	252.0	D:\AprPanama2025_fixed\041125_experimental\041125PA_experimental_part03.mp4
42541	1072	64	25.0	113.0	179.0	241.9142857142857	D:\AprPanama2025_fixed\041125_experimental\041125PA_experimental_part03.mp4
42549	1071	64	12.5	118.0	179.0	244.14285714285714	D:\AprPanama2025_fixed\041125_experimental\041125PA_experimental_part03.mp4
42550	1071	64	14.0	118.0	179.0	241.36363636363637	D:\AprPanama2025_fixed\041125_experimental\041125PA_experimental_part03.mp4
42554	1070	63	9.5	112.0	175.0	237.6875	D:\AprPanama2025_fixed\041125_experimental\041125PA_experimental_part03.mp4
42551	1071	64	11.0	121.0	179.0	242.16666666666666	D:\AprPanama2025_fixed\041125_experimental\041125PA_experimental_part03.mp4
42552	1071	63	10.5	111.0	179.0	243.83333333333331	D:\AprPanama2025_fixed\041125_experimental\041125PA_experimental_part03.mp4
42553	1071	63	10.0	112.0	179.0	243.1764705882353	D:\AprPanama2025_fixed\041125_experimental\041125PA_experimental_part03.mp4
42555	1070	63	3.0	113.0	168.0	248.0	D:\AprPanama2025_fixed\041125_experimental\041125PA_experimental_part03.mp4
42548	1071	64	16.5	122.0	179.0	241.20000000000002	D:\AprPanama2025_fixed\041125_experimental\041125PA_experimental_part03.mp4
42560	1081	93	12.0	111.0	177.0	242.8421052631579	D:\AprPanama2025_fixed\041125_experimental\041125PA_experimental_part03.mp4
42562	1081	93	12.5	113.0	179.0	247.05	D:\AprPanama2025_fixed\041125_experimental\041125PA_experimental_part03.mp4
42561	1081	93	12.5	111.0	179.0	245.75	D:\AprPanama2025_fixed\041125_experimental\041125PA_experimental_part03.mp4
42556	1070	64	2.5	112.0	136.0	249.28571428571428	D:\AprPanama2025_fixed\041125_experimental\041125PA_experimental_part03.mp4
42559	1080	92	2.5	123.0	169.0	239.0	D:\AprPanama2025_fixed\041125_experimental\041125PA_experimental_part03.mp4
42563	1081	93	14.0	113.0	179.0	251.6818181818182	D:\AprPanama2025_fixed\041125_experimental\041125PA_experimental_part03.mp4
42571	1080	92	5.0	124.0	179.0	250.9	D:\AprPanama2025_fixed\041125_experimental\041125PA_experimental_part03.mp4
42564	1080	93	13.5	111.0	176.0	247.52380952380952	D:\AprPanama2025_fixed\041125_experimental\041125PA_experimental_part03.mp4
42569	1081	93	10.5	133.0	179.0	250.05882352941177	D:\AprPanama2025_fixed\041125_experimental\041125PA_experimental_part03.mp4
42566	1081	93	11.0	116.0	177.0	244.6111111111111	D:\AprPanama2025_fixed\041125_experimental\041125PA_experimental_part03.mp4
42567	1081	93	11.0	121.0	177.0	245.0	D:\AprPanama2025_fixed\041125_experimental\041125PA_experimental_part03.mp4
