frame	cX	cY	area	minI	maxI	meanI	video
205	127	2	3.0	115.0	162.0	82.27272727272728	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	112	2	8.5	119.0	151.0	87.43478260869566	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	99	2	3.5	113.0	158.0	108.83333333333333	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	0	2	1.5	111.0	114.0	92.4	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	20	2	2.0	111.0	135.0	117.83333333333333	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	93	4	2.5	112.0	122.0	47.71428571428571	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	85	3	2.0	114.0	120.0	97.875	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	36	2	10.0	111.0	156.0	133.13636363636363	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	28	3	6.0	112.0	152.0	136.5625	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	75	2	4.0	114.0	145.0	113.0	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	64	4	8.5	113.0	151.0	99.73684210526315	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	54	3	11.0	111.0	151.0	122.21428571428571	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	525	17	42.0	113.0	255.0	174.33333333333334	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	815	21	31.0	99.0	169.0	103.79545454545455	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	815	21	2.0	99.0	160.0	106.80000000000001	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	204	26	2.0	112.0	154.0	82.0	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	188	26	5.0	112.0	142.0	116.25	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	858	34	5.0	111.0	167.0	105.0909090909091	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	382	39	3.5	120.0	186.0	104.88888888888889	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	156	39	34.0	115.0	238.0	155.54347826086956	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	194	45	2.0	111.0	137.0	104.66666666666666	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	189	45	3.0	111.0	134.0	95.80000000000001	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	206	46	2.5	115.0	129.0	89.875	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	282	51	1.5	112.0	119.0	113.80000000000001	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	231	53	2.5	117.0	141.0	134.85714285714286	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	1030	66	250.0	111.0	221.0	122.46794871794872	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	1109	68	7.0	114.0	141.0	81.5	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	1101	68	16.0	112.0	143.0	75.2	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	528	70	11.0	112.0	174.0	142.04761904761904	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	1273	71	15.0	116.0	205.0	43.37037037037037	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	1220	71	19.5	111.0	149.0	87.6111111111111	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	35	74	5.0	112.0	145.0	115.38461538461539	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	517	81	3.0	112.0	144.0	85.125	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	12	79	163.0	77.0	200.0	137.85221674876848	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	19	76	4.0	99.0	159.0	122.625	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	13	76	4.0	89.0	175.0	144.625	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	4	78	7.0	77.0	153.0	122.33333333333333	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	924	93	3.0	117.0	129.0	48.5	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	934	92	20.0	111.0	158.0	115.0	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	962	94	7.0	115.0	149.0	74.71428571428571	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	891	95	4.5	111.0	151.0	41.38461538461539	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	1213	97	49.5	112.0	160.0	95.19736842105263	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	1154	100	37.5	113.0	182.0	112.96000000000001	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	1003	84	2.0	93.0	146.0	118.80000000000001	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	996	86	7.0	97.0	137.0	108.5	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	972	91	2.0	109.0	130.0	116.0	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	1040	95	2.0	110.0	134.0	120.0	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	1049	95	16.5	68.0	148.0	104.4	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	972	96	14.0	67.0	162.0	103.4090909090909	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	966	97	2.0	106.0	149.0	115.80000000000001	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	968	98	6.0	108.0	149.0	99.36363636363636	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	996	99	10.5	94.0	142.0	131.0	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	989	100	9.5	86.0	165.0	130.75	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	1227	99	127.0	69.0	217.0	121.83974358974359	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	1226	94	7.0	106.0	146.0	115.08333333333333	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	1224	96	4.0	69.0	136.0	110.875	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	1092	98	296.0	101.0	235.0	160.5451807228916	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	1103	94	4.0	101.0	165.0	135.375	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	31	104	100.0	111.0	182.0	150.53125	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	59	70	4.0	102.0	152.0	148.5	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	68	72	2.0	95.0	148.0	130.0	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	75	92	2.0	110.0	151.0	149.4	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	52	97	2.0	105.0	125.0	167.20000000000002	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	45	104	10.5	49.0	146.0	150.88235294117646	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	47	106	2.0	107.0	119.0	130.20000000000002	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	72	108	4.0	105.0	156.0	156.375	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	12	110	113.0	102.0	164.0	149.02068965517242	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	19	108	2.0	102.0	151.0	144.4	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
205	16	112	4.0	106.0	138.0	102.625	D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part01.mp4
