frame,cX,cY,area,minI,maxI,meanI,video,time,cX_original
62275,444,50,7.5,115.0,183.0,241.2142857142857,D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part04.mp4,1900-01-01 19:16:47.500,764
62276,444,51,8.5,122.0,179.0,254.86666666666667,D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part04.mp4,1900-01-01 19:16:47.600,764
62274,443,47,2.0,115.0,170.0,121.83333333333331,D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part04.mp4,1900-01-01 19:16:47.400,763
62277,437,51,10.5,112.0,179.0,242.7222222222222,D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part04.mp4,1900-01-01 19:16:47.700,757
62277,444,51,14.0,113.0,242.0,244.3181818181818,D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part04.mp4,1900-01-01 19:16:47.700,764
62277,405,52,8.5,115.0,179.0,242.5625,D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part04.mp4,1900-01-01 19:16:47.700,725
62280,436,51,14.0,112.0,179.0,243.6818181818182,D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part04.mp4,1900-01-01 19:16:48.000,756
62280,444,51,18.0,112.0,241.0,242.4074074074074,D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part04.mp4,1900-01-01 19:16:48.000,764
62280,404,52,16.0,116.0,179.0,243.44,D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part04.mp4,1900-01-01 19:16:48.000,724
62284,437,49,5.5,112.0,179.0,238.41666666666663,D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part04.mp4,1900-01-01 19:16:48.400,757
62284,404,51,5.0,112.0,179.0,243.0,D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part04.mp4,1900-01-01 19:16:48.400,724
62284,444,50,14.0,116.0,240.0,240.0909090909091,D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part04.mp4,1900-01-01 19:16:48.400,764
62283,437,50,6.0,126.0,179.0,247.3333333333333,D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part04.mp4,1900-01-01 19:16:48.300,757
62283,405,51,7.5,114.0,179.0,235.06666666666663,D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part04.mp4,1900-01-01 19:16:48.300,725
62283,444,50,14.5,111.0,178.0,246.78260869565216,D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part04.mp4,1900-01-01 19:16:48.300,764
62278,436,51,12.5,119.0,179.0,243.5,D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part04.mp4,1900-01-01 19:16:47.800,756
62278,444,51,14.5,112.0,252.0,241.3478260869565,D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part04.mp4,1900-01-01 19:16:47.800,764
62278,405,52,14.5,115.0,179.0,239.5217391304348,D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part04.mp4,1900-01-01 19:16:47.800,725
62279,436,51,15.5,111.0,179.0,244.79166666666663,D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part04.mp4,1900-01-01 19:16:47.900,756
62279,444,51,18.0,115.0,253.0,241.07407407407405,D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part04.mp4,1900-01-01 19:16:47.900,764
62279,404,52,15.5,123.0,179.0,241.125,D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part04.mp4,1900-01-01 19:16:47.900,724
62282,437,50,7.0,111.0,179.0,241.2142857142857,D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part04.mp4,1900-01-01 19:16:48.200,757
62282,405,51,9.5,116.0,176.0,233.4705882352941,D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part04.mp4,1900-01-01 19:16:48.200,725
62282,444,51,17.0,112.0,249.0,235.80769230769232,D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part04.mp4,1900-01-01 19:16:48.200,764
62285,436,49,3.0,115.0,158.0,252.75,D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part04.mp4,1900-01-01 19:16:48.500,756
62285,404,50,3.5,114.0,177.0,240.77777777777777,D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part04.mp4,1900-01-01 19:16:48.500,724
62285,444,50,12.0,122.0,225.0,240.4,D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part04.mp4,1900-01-01 19:16:48.500,764
62281,436,50,9.0,112.0,179.0,244.1875,D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part04.mp4,1900-01-01 19:16:48.100,756
62281,444,51,15.0,117.0,217.0,243.125,D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part04.mp4,1900-01-01 19:16:48.100,764
62281,404,52,12.5,115.0,179.0,242.9,D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part04.mp4,1900-01-01 19:16:48.100,724
62291,444,49,7.0,125.0,178.0,235.30769230769232,D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part04.mp4,1900-01-01 19:16:49.100,764
62290,444,49,7.0,119.0,179.0,246.30769230769232,D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part04.mp4,1900-01-01 19:16:49.000,764
62289,444,49,7.5,112.0,178.0,248.28571428571428,D:\AprPanama2025_fixed\041625_experimental\041625PA_experimental_part04.mp4,1900-01-01 19:16:48.900,764
