frame,cX,cY,area,minI,maxI,meanI,video,time,cX_original
42536,1073,65,16.5,124.0,179.0,252.68,D:\AprPanama2025_fixed\041125_experimental\041125PA_experimental_part03.mp4,1900-01-01 19:00:53.600,1413
42537,1073,65,26.5,111.0,179.0,247.35135135135133,D:\AprPanama2025_fixed\041125_experimental\041125PA_experimental_part03.mp4,1900-01-01 19:00:53.700,1413
42539,1073,65,25.0,115.0,179.0,250.57142857142856,D:\AprPanama2025_fixed\041125_experimental\041125PA_experimental_part03.mp4,1900-01-01 19:00:53.900,1413
42538,1073,65,26.5,111.0,179.0,247.35135135135133,D:\AprPanama2025_fixed\041125_experimental\041125PA_experimental_part03.mp4,1900-01-01 19:00:53.800,1413
42535,1073,64,11.0,114.0,179.0,252.16666666666663,D:\AprPanama2025_fixed\041125_experimental\041125PA_experimental_part03.mp4,1900-01-01 19:00:53.500,1413
42545,1072,64,22.0,115.0,179.0,241.0,D:\AprPanama2025_fixed\041125_experimental\041125PA_experimental_part03.mp4,1900-01-01 19:00:54.500,1412
42547,1071,64,16.5,122.0,179.0,240.44,D:\AprPanama2025_fixed\041125_experimental\041125PA_experimental_part03.mp4,1900-01-01 19:00:54.700,1411
42540,1073,65,23.5,111.0,179.0,248.82857142857145,D:\AprPanama2025_fixed\041125_experimental\041125PA_experimental_part03.mp4,1900-01-01 19:00:54.000,1413
42542,1072,64,23.5,127.0,179.0,243.87878787878788,D:\AprPanama2025_fixed\041125_experimental\041125PA_experimental_part03.mp4,1900-01-01 19:00:54.200,1412
42543,1072,64,23.5,127.0,179.0,243.87878787878788,D:\AprPanama2025_fixed\041125_experimental\041125PA_experimental_part03.mp4,1900-01-01 19:00:54.300,1412
42544,1072,64,24.5,111.0,179.0,240.4705882352941,D:\AprPanama2025_fixed\041125_experimental\041125PA_experimental_part03.mp4,1900-01-01 19:00:54.400,1412
42546,1071,64,15.5,134.0,179.0,252.0,D:\AprPanama2025_fixed\041125_experimental\041125PA_experimental_part03.mp4,1900-01-01 19:00:54.600,1411
