frame,cX,cY,area,minI,maxI,meanI,video,time,cX_original
65828,160,50,2.0,124.0,179.0,222.8333333333333,D:\AprPanama2025_fixed\041325_experimental\041325PA_experimental_part04.mp4,1900-01-01 19:12:42.800,460
65825,160,50,2.0,127.0,178.0,223.85714285714283,D:\AprPanama2025_fixed\041325_experimental\041325PA_experimental_part04.mp4,1900-01-01 19:12:42.500,460
65823,160,50,5.5,122.0,175.0,223.0909090909091,D:\AprPanama2025_fixed\041325_experimental\041325PA_experimental_part04.mp4,1900-01-01 19:12:42.300,460
65822,160,50,5.5,122.0,175.0,223.0909090909091,D:\AprPanama2025_fixed\041325_experimental\041325PA_experimental_part04.mp4,1900-01-01 19:12:42.200,460
65827,160,50,2.5,118.0,178.0,187.85714285714283,D:\AprPanama2025_fixed\041325_experimental\041325PA_experimental_part04.mp4,1900-01-01 19:12:42.700,460
65826,160,50,2.0,127.0,178.0,223.85714285714283,D:\AprPanama2025_fixed\041325_experimental\041325PA_experimental_part04.mp4,1900-01-01 19:12:42.600,460
65824,160,50,4.0,116.0,178.0,234.88888888888889,D:\AprPanama2025_fixed\041325_experimental\041325PA_experimental_part04.mp4,1900-01-01 19:12:42.400,460
65821,159,50,3.5,119.0,167.0,153.33333333333331,D:\AprPanama2025_fixed\041325_experimental\041325PA_experimental_part04.mp4,1900-01-01 19:12:42.100,459
65830,160,50,1.5,123.0,179.0,223.2,D:\AprPanama2025_fixed\041325_experimental\041325PA_experimental_part04.mp4,1900-01-01 19:12:43.000,460
65831,160,50,1.5,117.0,179.0,222.6,D:\AprPanama2025_fixed\041325_experimental\041325PA_experimental_part04.mp4,1900-01-01 19:12:43.100,460
65832,160,50,1.5,117.0,179.0,222.6,D:\AprPanama2025_fixed\041325_experimental\041325PA_experimental_part04.mp4,1900-01-01 19:12:43.200,460
65829,160,50,1.5,117.0,179.0,223.6,D:\AprPanama2025_fixed\041325_experimental\041325PA_experimental_part04.mp4,1900-01-01 19:12:42.900,460
66860,186,67,1.5,132.0,173.0,187.3333333333333,D:\AprPanama2025_fixed\041325_experimental\041325PA_experimental_part04.mp4,1900-01-01 19:14:26.000,486
66858,186,66,2.5,121.0,162.0,118.0,D:\AprPanama2025_fixed\041325_experimental\041325PA_experimental_part04.mp4,1900-01-01 19:14:25.800,486
66857,186,65,2.0,116.0,150.0,22.666666666666664,D:\AprPanama2025_fixed\041325_experimental\041325PA_experimental_part04.mp4,1900-01-01 19:14:25.700,486
66859,186,67,1.5,132.0,173.0,187.3333333333333,D:\AprPanama2025_fixed\041325_experimental\041325PA_experimental_part04.mp4,1900-01-01 19:14:25.900,486
66863,186,67,1.5,132.0,173.0,187.3333333333333,D:\AprPanama2025_fixed\041325_experimental\041325PA_experimental_part04.mp4,1900-01-01 19:14:26.300,486
66867,240,90,2.0,116.0,174.0,190.8333333333333,D:\AprPanama2025_fixed\041325_experimental\041325PA_experimental_part04.mp4,1900-01-01 19:14:26.700,540
66861,186,67,1.5,132.0,173.0,187.3333333333333,D:\AprPanama2025_fixed\041325_experimental\041325PA_experimental_part04.mp4,1900-01-01 19:14:26.100,486
66865,186,67,1.5,132.0,173.0,187.3333333333333,D:\AprPanama2025_fixed\041325_experimental\041325PA_experimental_part04.mp4,1900-01-01 19:14:26.500,486
66862,186,67,1.5,132.0,173.0,187.3333333333333,D:\AprPanama2025_fixed\041325_experimental\041325PA_experimental_part04.mp4,1900-01-01 19:14:26.200,486
66866,186,67,1.5,132.0,173.0,187.3333333333333,D:\AprPanama2025_fixed\041325_experimental\041325PA_experimental_part04.mp4,1900-01-01 19:14:26.600,486
66868,241,90,8.0,120.0,179.0,232.35714285714283,D:\AprPanama2025_fixed\041325_experimental\041325PA_experimental_part04.mp4,1900-01-01 19:14:26.800,541
66864,186,67,1.5,132.0,173.0,187.3333333333333,D:\AprPanama2025_fixed\041325_experimental\041325PA_experimental_part04.mp4,1900-01-01 19:14:26.400,486
66873,242,89,16.5,121.0,179.0,218.07407407407408,D:\AprPanama2025_fixed\041325_experimental\041325PA_experimental_part04.mp4,1900-01-01 19:14:27.300,542
66876,242,89,13.0,112.0,178.0,218.08695652173915,D:\AprPanama2025_fixed\041325_experimental\041325PA_experimental_part04.mp4,1900-01-01 19:14:27.600,542
66870,242,90,15.0,111.0,178.0,213.24,D:\AprPanama2025_fixed\041325_experimental\041325PA_experimental_part04.mp4,1900-01-01 19:14:27.000,542
66872,186,66,2.5,117.0,167.0,196.42857142857144,D:\AprPanama2025_fixed\041325_experimental\041325PA_experimental_part04.mp4,1900-01-01 19:14:27.200,486
