frame,cX,cY,area,minI,maxI,meanI,video,time,cX_original
59863,892,91,14.0,111.0,178.0,243.5909090909091,D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part04.mp4,1900-01-01 19:03:46.300,1232
59866,893,92,12.0,113.0,179.0,248.09523809523807,D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part04.mp4,1900-01-01 19:03:46.600,1233
59868,893,91,9.0,128.0,179.0,245.875,D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part04.mp4,1900-01-01 19:03:46.800,1233
59862,892,90,6.0,116.0,166.0,247.8333333333333,D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part04.mp4,1900-01-01 19:03:46.200,1232
59867,893,91,12.0,133.0,179.0,247.6,D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part04.mp4,1900-01-01 19:03:46.700,1233
59865,893,91,13.5,113.0,179.0,245.9047619047619,D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part04.mp4,1900-01-01 19:03:46.500,1233
59864,893,91,14.0,113.0,176.0,246.13636363636363,D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part04.mp4,1900-01-01 19:03:46.400,1233
59871,893,91,12.5,118.0,179.0,245.85,D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part04.mp4,1900-01-01 19:03:47.100,1233
59874,892,91,4.0,111.0,171.0,235.88888888888889,D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part04.mp4,1900-01-01 19:03:47.400,1232
59870,893,91,10.0,114.0,179.0,246.94444444444443,D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part04.mp4,1900-01-01 19:03:47.000,1233
59869,893,92,11.0,115.0,179.0,245.66666666666663,D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part04.mp4,1900-01-01 19:03:46.900,1233
59873,892,91,3.5,112.0,159.0,250.6,D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part04.mp4,1900-01-01 19:03:47.300,1232
59875,892,90,2.0,121.0,172.0,238.66666666666663,D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part04.mp4,1900-01-01 19:03:47.500,1232
59872,893,90,4.0,129.0,152.0,254.0,D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part04.mp4,1900-01-01 19:03:47.200,1233
60466,901,74,16.0,115.0,179.0,247.2,D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part04.mp4,1900-01-01 19:04:46.600,1241
60465,901,73,5.5,116.0,175.0,239.1818181818182,D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part04.mp4,1900-01-01 19:04:46.500,1241
60467,901,74,18.0,121.0,179.0,249.66666666666663,D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part04.mp4,1900-01-01 19:04:46.700,1241
60468,901,74,20.0,116.0,179.0,246.44827586206893,D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part04.mp4,1900-01-01 19:04:46.800,1241
60464,901,72,2.0,112.0,137.0,184.0,D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part04.mp4,1900-01-01 19:04:46.400,1241
60471,901,74,16.0,128.0,179.0,249.7083333333333,D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part04.mp4,1900-01-01 19:04:47.100,1241
60470,901,74,19.0,116.0,178.0,246.92857142857144,D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part04.mp4,1900-01-01 19:04:47.000,1241
60476,900,73,8.0,117.0,179.0,246.7333333333333,D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part04.mp4,1900-01-01 19:04:47.600,1240
60475,900,73,10.5,111.0,179.0,250.7058823529412,D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part04.mp4,1900-01-01 19:04:47.500,1240
60472,900,74,14.5,118.0,179.0,249.63636363636363,D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part04.mp4,1900-01-01 19:04:47.200,1240
60469,864,74,1.5,117.0,165.0,253.4,D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part04.mp4,1900-01-01 19:04:46.900,1204
60469,901,74,19.0,116.0,178.0,246.92857142857144,D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part04.mp4,1900-01-01 19:04:46.900,1241
60474,900,73,13.5,114.0,179.0,242.52380952380952,D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part04.mp4,1900-01-01 19:04:47.400,1240
60473,900,74,14.5,113.0,179.0,252.63636363636363,D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part04.mp4,1900-01-01 19:04:47.300,1240
60483,899,73,2.0,111.0,146.0,254.5,D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part04.mp4,1900-01-01 19:04:48.300,1239
60482,899,73,2.5,115.0,159.0,241.85714285714283,D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part04.mp4,1900-01-01 19:04:48.200,1239
60478,899,73,4.5,116.0,172.0,245.2,D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part04.mp4,1900-01-01 19:04:47.800,1239
60479,899,73,5.0,117.0,170.0,250.0,D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part04.mp4,1900-01-01 19:04:47.900,1239
60477,900,73,6.5,114.0,175.0,248.15384615384616,D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part04.mp4,1900-01-01 19:04:47.700,1240
