frame	cX	cY	area	minI	maxI	meanI	video
14865	509	292	61.5	114.0	150.0	6.458823529411765	D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part01.mp4
14865	872	306	2.0	114.0	150.0	0.3333333333333333	D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part01.mp4
14865	152	302	51.0	112.0	150.0	14.535211267605634	D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part01.mp4
14865	416	311	31.0	116.0	150.0	6.738095238095238	D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part01.mp4
14865	1266	330	117.0	112.0	150.0	9.079710144927537	D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part01.mp4
14865	154	338	3.5	112.0	150.0	14.222222222222221	D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part01.mp4
14865	511	336	37.0	113.0	150.0	8.352941176470589	D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part01.mp4
14865	872	326	143.0	112.0	255.0	107.30769230769232	D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part01.mp4
14865	437	417	9.5	112.0	147.0	26.764705882352942	D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part01.mp4
14800	439	265	11.5	112.0	150.0	10.157894736842104	D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part01.mp4
14800	430	266	15.5	111.0	149.0	16.77777777777778	D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part01.mp4
14800	455	259	2.0	110.0	125.0	0.0	D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part01.mp4
14800	872	322	73.5	116.0	150.0	18.229166666666664	D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part01.mp4
59863	892	91	14.0	111.0	178.0	243.5909090909091	D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part04.mp4
59866	893	92	12.0	113.0	179.0	248.09523809523807	D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part04.mp4
59868	893	91	9.0	128.0	179.0	245.875	D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part04.mp4
59862	892	90	6.0	116.0	166.0	247.83333333333331	D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part04.mp4
59867	893	91	12.0	133.0	179.0	247.60000000000002	D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part04.mp4
59865	893	91	13.5	113.0	179.0	245.9047619047619	D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part04.mp4
59864	893	91	14.0	113.0	176.0	246.13636363636365	D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part04.mp4
59871	893	91	12.5	118.0	179.0	245.85000000000002	D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part04.mp4
59874	892	91	4.0	111.0	171.0	235.88888888888889	D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part04.mp4
59870	893	91	10.0	114.0	179.0	246.94444444444443	D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part04.mp4
59869	893	92	11.0	115.0	179.0	245.66666666666666	D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part04.mp4
59873	892	91	3.5	112.0	159.0	250.60000000000002	D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part04.mp4
59875	892	90	2.0	121.0	172.0	238.66666666666666	D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part04.mp4
59872	893	90	4.0	129.0	152.0	254.0	D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part04.mp4
60466	901	74	16.0	115.0	179.0	247.20000000000002	D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part04.mp4
60465	901	73	5.5	116.0	175.0	239.1818181818182	D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part04.mp4
60467	901	74	18.0	121.0	179.0	249.66666666666666	D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part04.mp4
60468	901	74	20.0	116.0	179.0	246.44827586206895	D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part04.mp4
60464	901	72	2.0	112.0	137.0	184.0	D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part04.mp4
60471	901	74	16.0	128.0	179.0	249.70833333333331	D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part04.mp4
60470	901	74	19.0	116.0	178.0	246.92857142857142	D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part04.mp4
60476	900	73	8.0	117.0	179.0	246.73333333333332	D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part04.mp4
60475	900	73	10.5	111.0	179.0	250.70588235294116	D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part04.mp4
60472	900	74	14.5	118.0	179.0	249.63636363636365	D:\AprPanama2025_fixed\041225_experimental\041225PA_experimental_part04.mp4
