frame	cX	cY	area	minI	maxI	meanI	video
625	103	3	25.5	114.0	153.0	59.02380952380952	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	93	3	9.0	119.0	131.0	74.25	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	45	3	8.5	115.0	134.0	106.11764705882352	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	78	3	68.5	84.0	153.0	117.70476190476191	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	80	4	7.0	84.0	150.0	119.83333333333333	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	69	6	3.5	116.0	145.0	60.800000000000004	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	53	3	6.5	111.0	141.0	113.85000000000001	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	1246	9	1.5	113.0	121.0	45.33333333333333	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	14	4	90.5	82.0	160.0	108.21768707482993	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	6	4	7.0	82.0	141.0	122.0	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	13	6	2.0	107.0	124.0	100.4	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	1269	11	95.5	49.0	212.0	73.71653543307086	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	1266	8	7.0	82.0	140.0	79.5	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	1268	9	4.0	51.0	163.0	79.625	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	1264	9	2.0	49.0	148.0	64.2	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	229	28	14.0	95.0	148.0	94.84615384615385	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	230	28	5.5	95.0	131.0	94.7	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	202	29	2.0	118.0	144.0	102.5	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	173	40	5.5	113.0	148.0	77.63636363636364	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	185	39	15.5	111.0	151.0	53.42307692307693	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	62	58	1.5	114.0	141.0	99.60000000000001	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	5	34	348.5	83.0	197.0	127.05940594059406	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	8	19	13.0	90.0	154.0	126.75	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	6	38	4.0	93.0	165.0	152.875	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	5	40	4.0	83.0	169.0	149.75	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	6	46	7.0	89.0	140.0	126.58333333333333	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	4	50	4.0	105.0	158.0	148.5	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	41	62	3.0	114.0	140.0	117.375	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	52	62	2.0	111.0	148.0	122.33333333333333	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	1041	65	83.0	103.0	171.0	41.78225806451613	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	1028	63	4.0	103.0	143.0	33.875	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	37	95	81.5	85.0	162.0	136.2	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	34	94	8.5	85.0	130.0	126.57142857142857	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	874	93	33.0	111.0	188.0	81.46153846153847	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	1022	93	837.0	91.0	222.0	135.86681465038845	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	1004	87	4.0	93.0	149.0	101.25	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	1002	89	2.0	92.0	143.0	109.0	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	1006	90	5.5	91.0	160.0	130.5	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	1000	92	5.5	105.0	135.0	60.5	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	1033	104	2.0	110.0	165.0	132.6	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	74	58	7.0	108.0	131.0	116.91666666666666	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	68	96	7.0	83.0	153.0	149.75	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	1239	102	160.0	60.0	226.0	102.73239436619718	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	1228	102	7.0	60.0	160.0	97.08333333333333	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	222	52	4.0	108.0	187.0	179.25	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	210	52	4.0	108.0	164.0	177.75	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	199	53	36.0	22.0	158.0	155.83333333333331	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	190	53	4.0	86.0	157.0	152.0	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	1011	115	102.0	111.0	198.0	90.57936507936508	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	825	131	5.5	111.0	116.0	69.53846153846155	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	722	146	1.5	111.0	130.0	66.625	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	701	152	4.5	116.0	135.0	132.9	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	822	68	8.5	100.0	172.0	107.85714285714285	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	591	72	2.0	103.0	157.0	119.2	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	777	77	10.0	100.0	180.0	150.35294117647058	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	624	77	2.0	109.0	156.0	114.2	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	806	74	455.0	0.0	187.0	63.51287128712871	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	710	103	4.0	110.0	132.0	122.5	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	705	103	5.5	80.0	145.0	127.80000000000001	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	692	103	14.0	92.0	130.0	138.8181818181818	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	689	103	2.0	95.0	166.0	127.80000000000001	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	698	103	7.0	91.0	154.0	112.16666666666666	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	706	105	4.0	93.0	169.0	153.125	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	711	108	7.0	99.0	142.0	117.91666666666666	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	696	112	7.0	107.0	148.0	121.16666666666666	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	715	114	2.0	110.0	123.0	95.80000000000001	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	712	114	8.5	106.0	135.0	111.21428571428571	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	711	120	2.0	110.0	134.0	113.0	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	698	120	7.0	104.0	146.0	150.66666666666666	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	700	135	2.0	110.0	144.0	167.8	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	698	138	7.0	87.0	153.0	142.66666666666666	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	709	140	4.0	97.0	138.0	117.875	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	698	144	4.0	107.0	133.0	126.375	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	694	144	4.0	110.0	124.0	157.125	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	694	146	4.0	107.0	122.0	148.25	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	710	150	7.0	98.0	128.0	78.33333333333333	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	712	154	2.0	110.0	129.0	108.2	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	722	160	2.5	115.0	156.0	117.0	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	846	149	306.5	90.0	225.0	88.58082191780822	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	832	138	5.5	108.0	144.0	91.30000000000001	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	830	138	5.5	92.0	146.0	91.7	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	844	148	7.5	90.0	172.0	101.53846153846155	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	801	169	22.0	111.0	211.0	68.88888888888889	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	303	176	5.5	131.0	226.0	173.41666666666666	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	734	190	3.5	111.0	131.0	74.57142857142857	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	718	195	108.0	44.0	189.0	115.44680851063829	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	717	191	4.0	44.0	149.0	102.75	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	724	194	6.0	107.0	147.0	89.54545454545455	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	733	218	52.0	110.0	233.0	120.6046511627907	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	723	225	2.0	110.0	181.0	84.60000000000001	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	716	231	3.0	114.0	162.0	89.14285714285714	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	557	231	6.0	111.0	135.0	127.71428571428571	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	390	240	3.5	115.0	171.0	67.125	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	699	243	1.5	123.0	138.0	16.71428571428571	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	395	243	2.0	114.0	159.0	172.83333333333331	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	734	274	5.5	111.0	116.0	66.83333333333333	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	325	287	11.5	131.0	231.0	161.25	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	343	290	5.0	112.0	200.0	93.14285714285714	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	350	291	2.5	120.0	174.0	128.375	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	620	297	2.0	111.0	117.0	135.0	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	146	293	28.0	103.0	170.0	42.95238095238095	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	147	290	4.0	103.0	170.0	59.875	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	375	300	19.5	111.0	217.0	161.41935483870967	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	167	281	228.0	85.0	255.0	200.66546762589928	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	167	258	2.0	85.0	188.0	168.20000000000002	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	137	302	63.0	114.0	206.0	64.39285714285714	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	433	307	2.5	113.0	155.0	146.11111111111111	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	432	316	1.5	126.0	196.0	103.60000000000001	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	437	317	2.0	118.0	153.0	118.66666666666666	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	380	312	29.0	112.0	249.0	170.3913043478261	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	1038	320	5.5	115.0	140.0	18.928571428571427	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	820	322	1.5	114.0	149.0	85.83333333333333	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	462	324	2.0	116.0	146.0	106.66666666666666	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	458	325	1.5	126.0	160.0	157.20000000000002	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	385	325	12.0	112.0	194.0	145.91666666666666	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	395	294	537.0	16.0	255.0	216.58268933539412	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	392	284	4.0	27.0	180.0	227.5	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	391	306	4.0	16.0	174.0	197.75	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	396	317	2.0	96.0	164.0	175.8	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	461	338	4.5	111.0	159.0	114.6	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	167	330	50.0	124.0	255.0	198.85294117647058	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	120	325	232.5	111.0	237.0	83.66542750929368	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	869	330	41.5	111.0	210.0	18.70149253731343	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	197	340	9.5	111.0	206.0	99.1111111111111	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	446	330	134.5	111.0	255.0	193.69590643274853	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	512	343	2.5	113.0	179.0	112.57142857142857	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	492	342	78.0	85.0	253.0	182.88659793814432	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	490	344	7.0	85.0	210.0	155.41666666666666	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	1226	348	2.0	111.0	114.0	86.66666666666666	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	1043	337	176.5	107.0	203.0	37.28571428571429	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	1043	336	2.0	107.0	176.0	28.200000000000003	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	111	348	5.5	111.0	191.0	28.545454545454547	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	120	350	6.0	115.0	172.0	35.5	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	885	303	402.0	113.0	255.0	225.62919132149904	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	430	350	2.0	138.0	150.0	121.83333333333333	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	1209	337	376.0	95.0	228.0	93.54794520547945	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	1211	321	4.0	100.0	142.0	53.0	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	1204	326	4.0	108.0	147.0	83.0	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	1204	332	4.0	107.0	134.0	85.75	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	1217	340	4.0	104.0	141.0	115.5	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	1204	346	2.0	95.0	150.0	56.6	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	1210	352	4.0	106.0	137.0	58.5	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	1268	313	2.0	104.0	161.0	119.4	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	1043	360	23.0	113.0	151.0	14.5	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	709	372	3.0	114.0	120.0	39.75	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	836	344	2.0	92.0	132.0	102.60000000000001	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	836	346	2.0	106.0	132.0	111.80000000000001	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	856	364	2.0	102.0	170.0	115.0	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	841	365	10.5	92.0	161.0	102.41176470588235	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	847	369	18.5	90.0	128.0	93.0	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	842	369	15.5	92.0	148.0	105.30434782608695	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	460	366	250.0	65.0	251.0	149.59863945578232	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	449	362	7.0	65.0	170.0	117.41666666666666	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	458	364	4.0	65.0	196.0	122.625	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	129	363	132.5	111.0	230.0	69.75	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	831	376	4.0	112.0	150.0	50.63636363636364	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	1039	370	14.0	113.0	161.0	13.114285714285714	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	787	132	2.0	109.0	150.0	90.2	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	572	176	2.0	101.0	176.0	124.4	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	576	178	4.0	89.0	167.0	142.125	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	582	202	5.5	107.0	141.0	162.10000000000002	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	579	202	2.0	98.0	151.0	106.60000000000001	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	546	237	2.0	103.0	159.0	160.60000000000002	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	548	238	7.0	88.0	152.0	171.66666666666666	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	550	239	4.0	97.0	140.0	186.5	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	522	246	6.0	95.0	178.0	234.36363636363637	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	578	268	4.0	95.0	140.0	139.625	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	587	270	2.0	97.0	120.0	117.2	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	577	270	4.0	107.0	134.0	155.75	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	586	275	4.0	100.0	134.0	126.25	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	427	277	2.0	75.0	174.0	99.4	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	740	278	7.0	99.0	126.0	94.33333333333333	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	587	279	2.0	110.0	140.0	153.4	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	444	279	20.0	27.0	235.0	200.20689655172413	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	447	282	2.0	28.0	165.0	244.20000000000002	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	586	283	4.0	101.0	151.0	141.625	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	446	283	2.0	108.0	158.0	202.60000000000002	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	734	284	7.0	104.0	127.0	126.33333333333333	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	447	284	2.0	96.0	185.0	230.20000000000002	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	732	285	4.0	102.0	148.0	92.0	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	722	285	2.0	106.0	122.0	102.0	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	738	286	7.0	109.0	139.0	102.66666666666666	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	729	287	2.0	86.0	152.0	120.0	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
625	742	287	13.0	106.0	129.0	114.05000000000001	D:\AprPanama2025_fixed\041525_experimental\041525PA_experimental_part01.mp4
