window_start,window_end,duration_min,threshold_lux,sunset,sunrise
2025-10-11 18:54:00,2025-10-12 05:33:00,640,0.14111818,18:10:41,06:20:29
2025-10-12 05:56:00,2025-10-12 05:56:00,1,0.14111818,18:10:11,06:20:29
2025-10-12 18:54:00,2025-10-13 05:34:00,641,0.14111818,18:10:11,06:20:29
2025-10-13 05:56:00,2025-10-13 05:56:00,1,0.14111818,18:09:41,06:20:29
2025-10-13 18:53:00,2025-10-14 05:35:00,643,0.14111818,18:09:41,06:20:29
2025-10-14 05:56:00,2025-10-14 05:56:00,1,0.14111818,18:09:13,06:20:30
