window_start,window_end,duration_min,threshold_lux,sunset,sunrise
2025-04-13 19:20:00,2025-04-13 22:01:00,162,0.14111818,18:35:35,06:23:22
2025-04-14 04:24:00,2025-04-14 05:35:00,72,0.14111818,18:35:35,06:22:52
