date,time,illuminance_lux,light_regime,sun_altitude_deg,sun_azimuth_deg,moon_altitude_deg,moon_azimuth_deg,phase_angle_deg,pct_darkness,moon_phase_fraction,moon_phase_name,below_threshold
2025-04-16,18:30:00,5922.4959,Daylit,1.3579,280.3981,-42.4818,117.9709,43.4338,36.75,0.8631,Waning Crescent,False
2025-04-16,18:31:00,5026.9881,Daylit,1.1153,280.438,-42.2732,117.9125,43.4414,36.76,0.863,Waning Crescent,False
2025-04-16,18:32:00,4098.1049,Daylit,0.8727,280.478,-42.0645,117.855,43.4491,36.77,0.863,Waning Crescent,False
2025-04-16,18:33:00,3124.5037,Daylit,0.6301,280.5183,-41.8557,117.7984,43.4567,36.77,0.8629,Waning Crescent,False
2025-04-16,18:34:00,2084.4476,Daylit,0.3876,280.5587,-41.6468,117.7427,43.4643,36.78,0.8629,Waning Crescent,False
2025-04-16,18:35:00,919.5487,Daylit,0.1451,280.5993,-41.4377,117.6879,43.4719,36.79,0.8629,Waning Crescent,False
2025-04-16,18:36:00,20.069,Civil Twilight,-0.0973,280.6401,-41.2286,117.634,43.4796,36.79,0.8628,Waning Crescent,False
2025-04-16,18:37:00,19.2448,Civil Twilight,-0.3398,280.681,-41.0193,117.5809,43.4872,36.8,0.8628,Waning Crescent,False
2025-04-16,18:38:00,18.4206,Civil Twilight,-0.5822,280.7222,-40.81,117.5287,43.4948,36.81,0.8627,Waning Crescent,False
2025-04-16,18:39:00,17.5966,Civil Twilight,-0.8245,280.7636,-40.6005,117.4774,43.5025,36.82,0.8627,Waning Crescent,False
2025-04-16,18:40:00,16.7727,Civil Twilight,-1.0669,280.8052,-40.3909,117.4269,43.5101,36.82,0.8626,Waning Crescent,False
2025-04-16,18:41:00,15.9489,Civil Twilight,-1.3091,280.8469,-40.1812,117.3772,43.5177,36.83,0.8626,Waning Crescent,False
2025-04-16,18:42:00,15.1252,Civil Twilight,-1.5514,280.8889,-39.9715,117.3284,43.5253,36.84,0.8625,Waning Crescent,False
2025-04-16,18:43:00,14.3016,Civil Twilight,-1.7936,280.9311,-39.7616,117.2803,43.533,36.85,0.8625,Waning Crescent,False
2025-04-16,18:44:00,13.4782,Civil Twilight,-2.0358,280.9735,-39.5516,117.2331,43.5406,36.85,0.8624,Waning Crescent,False
2025-04-16,18:45:00,12.6549,Civil Twilight,-2.278,281.0161,-39.3416,117.1867,43.5482,36.86,0.8624,Waning Crescent,False
2025-04-16,18:46:00,11.8317,Civil Twilight,-2.5201,281.0588,-39.1314,117.141,43.5559,36.87,0.8624,Waning Crescent,False
2025-04-16,18:47:00,11.0086,Civil Twilight,-2.7622,281.1018,-38.9212,117.0962,43.5635,36.88,0.8623,Waning Crescent,False
2025-04-16,18:48:00,10.1856,Civil Twilight,-3.0042,281.1451,-38.7108,117.0521,43.5711,36.88,0.8623,Waning Crescent,False
2025-04-16,18:49:00,9.3628,Civil Twilight,-3.2462,281.1885,-38.5004,117.0088,43.5787,36.89,0.8622,Waning Crescent,False
2025-04-16,18:50:00,8.5401,Civil Twilight,-3.4882,281.2321,-38.2899,116.9663,43.5864,36.9,0.8622,Waning Crescent,False
2025-04-16,18:51:00,7.7175,Civil Twilight,-3.7302,281.276,-38.0793,116.9245,43.594,36.9,0.8621,Waning Crescent,False
2025-04-16,18:52:00,6.895,Civil Twilight,-3.9721,281.32,-37.8687,116.8835,43.6016,36.91,0.8621,Waning Crescent,False
2025-04-16,18:53:00,6.0727,Civil Twilight,-4.2139,281.3643,-37.6579,116.8432,43.6093,36.92,0.862,Waning Crescent,False
2025-04-16,18:54:00,5.2504,Civil Twilight,-4.4558,281.4088,-37.4471,116.8036,43.6169,36.93,0.862,Waning Crescent,False
2025-04-16,18:55:00,4.4284,Civil Twilight,-4.6975,281.4535,-37.2362,116.7647,43.6245,36.93,0.8619,Waning Crescent,False
2025-04-16,18:56:00,3.6064,Civil Twilight,-4.9393,281.4985,-37.0252,116.7266,43.6322,36.94,0.8619,Waning Crescent,False
2025-04-16,18:57:00,2.7846,Civil Twilight,-5.181,281.5437,-36.8141,116.6892,43.6398,36.95,0.8618,Waning Crescent,False
2025-04-16,18:58:00,1.9629,Civil Twilight,-5.4227,281.5891,-36.603,116.6525,43.6474,36.96,0.8618,Waning Crescent,False
2025-04-16,18:59:00,1.1414,Civil Twilight,-5.6643,281.6347,-36.3918,116.6165,43.655,36.96,0.8618,Waning Crescent,False
2025-04-16,19:00:00,0.32,Civil Twilight,-5.9059,281.6806,-36.1805,116.5812,43.6627,36.97,0.8617,Waning Crescent,False
2025-04-16,19:01:00,0.5853,Nautical Twilight,-6.1474,281.7267,-35.9691,116.5465,43.6703,36.98,0.8617,Waning Crescent,False
2025-04-16,19:02:00,0.5611,Nautical Twilight,-6.389,281.773,-35.7577,116.5126,43.6779,36.98,0.8616,Waning Crescent,False
2025-04-16,19:03:00,0.537,Nautical Twilight,-6.6304,281.8196,-35.5462,116.4793,43.6856,36.99,0.8616,Waning Crescent,False
2025-04-16,19:04:00,0.5128,Nautical Twilight,-6.8718,281.8664,-35.3346,116.4467,43.6932,37.0,0.8615,Waning Crescent,False
2025-04-16,19:05:00,0.4887,Nautical Twilight,-7.1132,281.9134,-35.123,116.4147,43.7008,37.01,0.8615,Waning Crescent,False
2025-04-16,19:06:00,0.4645,Nautical Twilight,-7.3546,281.9607,-34.9113,116.3834,43.7084,37.01,0.8614,Waning Crescent,False
2025-04-16,19:07:00,0.4404,Nautical Twilight,-7.5959,282.0082,-34.6996,116.3528,43.7161,37.02,0.8614,Waning Crescent,False
