window_start,window_end,duration_min,threshold_lux,sunset,sunrise
2025-04-14 19:20:00,2025-04-14 23:20:00,241,0.14111818,18:35:35,06:22:52
2025-04-15 04:33:00,2025-04-15 05:34:00,62,0.14111818,18:35:35,06:22:23
