date,time,illuminance_lux,light_regime,sun_altitude_deg,sun_azimuth_deg,moon_altitude_deg,moon_azimuth_deg,phase_angle_deg,pct_darkness,moon_phase_fraction,moon_phase_name,below_threshold
2025-04-10,18:30:00,5982.6327,Daylit,1.3745,278.2075,19.4177,93.2794,22.1808,18.14,0.963,Waning Crescent,False
2025-04-10,18:31:00,5083.3866,Daylit,1.1303,278.2476,19.658,93.3283,22.1732,18.13,0.963,Waning Crescent,False
2025-04-10,18:32:00,4150.8439,Daylit,0.8862,278.2878,19.8984,93.3772,22.1656,18.13,0.963,Waning Crescent,False
2025-04-10,18:33:00,3173.8029,Daylit,0.6421,278.3281,20.1387,93.4264,22.158,18.12,0.9631,Waning Crescent,False
2025-04-10,18:34:00,2130.9419,Daylit,0.398,278.3686,20.3791,93.4757,22.1504,18.12,0.9631,Waning Crescent,False
2025-04-10,18:35:00,965.9874,Daylit,0.1539,278.4093,20.6194,93.5251,22.1427,18.11,0.9631,Waning Crescent,False
2025-04-10,18:36:00,20.1727,Civil Twilight,-0.0901,278.4501,20.8598,93.5747,22.1351,18.1,0.9631,Waning Crescent,False
2025-04-10,18:37:00,19.344,Civil Twilight,-0.3341,278.491,21.1001,93.6245,22.1275,18.1,0.9632,Waning Crescent,False
2025-04-10,18:38:00,18.5154,Civil Twilight,-0.5781,278.5321,21.3404,93.6744,22.1199,18.09,0.9632,Waning Crescent,False
2025-04-10,18:39:00,17.6868,Civil Twilight,-0.822,278.5734,21.5808,93.7245,22.1123,18.09,0.9632,Waning Crescent,False
2025-04-10,18:40:00,16.8584,Civil Twilight,-1.0659,278.6148,21.8211,93.7748,22.1047,18.08,0.9632,Waning Crescent,False
2025-04-10,18:41:00,16.03,Civil Twilight,-1.3098,278.6564,22.0615,93.8253,22.0971,18.07,0.9633,Waning Crescent,False
2025-04-10,18:42:00,15.2017,Civil Twilight,-1.5537,278.6982,22.3018,93.8759,22.0895,18.07,0.9633,Waning Crescent,False
2025-04-10,18:43:00,14.3735,Civil Twilight,-1.7975,278.7401,22.5422,93.9267,22.0819,18.06,0.9633,Waning Crescent,False
2025-04-10,18:44:00,13.5454,Civil Twilight,-2.0413,278.7822,22.7825,93.9776,22.0743,18.06,0.9633,Waning Crescent,False
2025-04-10,18:45:00,12.7174,Civil Twilight,-2.2851,278.8244,23.0229,94.0288,22.0667,18.05,0.9634,Waning Crescent,False
2025-04-10,18:46:00,11.8895,Civil Twilight,-2.5289,278.8668,23.2632,94.0802,22.0591,18.04,0.9634,Waning Crescent,False
2025-04-10,18:47:00,11.0617,Civil Twilight,-2.7726,278.9094,23.5036,94.1317,22.0515,18.04,0.9634,Waning Crescent,False
2025-04-10,18:48:00,10.234,Civil Twilight,-3.0163,278.9522,23.7439,94.1834,22.0439,18.03,0.9634,Waning Crescent,False
2025-04-10,18:49:00,9.4064,Civil Twilight,-3.26,278.9951,23.9842,94.2353,22.0363,18.03,0.9635,Waning Crescent,False
2025-04-10,18:50:00,8.5789,Civil Twilight,-3.5036,279.0382,24.2246,94.2875,22.0287,18.02,0.9635,Waning Crescent,False
