window_start,window_end,duration_min,threshold_lux,sunset,sunrise
2025-04-10 19:25:00,2025-04-10 19:52:00,28,0.14111818,18:35:37,06:24:53
2025-04-11 02:43:00,2025-04-11 05:40:00,178,0.14111818,18:35:36,06:24:22
