window_start,window_end,duration_min,threshold_lux,sunset,sunrise
2024-07-23 19:15:00,2024-07-23 19:15:00,1,0.14111818,18:49:08,06:21:54
2024-07-23 19:36:00,2024-07-24 00:50:00,315,0.14111818,18:49:08,06:21:54
