window_start,window_end,duration_min,threshold_lux,sunset,sunrise
2024-07-22 19:36:00,2024-07-22 23:28:00,233,0.14111818,18:49:16,06:21:44
2024-07-23 05:17:00,2024-07-23 05:30:00,14,0.14111818,18:49:08,06:21:54
