date,time,illuminance_lux,light_regime,sun_altitude_deg,sun_azimuth_deg,moon_altitude_deg,moon_azimuth_deg,phase_angle_deg,pct_darkness,moon_phase_fraction,moon_phase_name,below_threshold
2024-07-23,18:30:00,15893.8396,Daylit,4.4457,289.369,-38.2373,97.7637,34.6674,28.62,0.9112,Waning Crescent,False
2024-07-23,18:31:00,15198.9845,Daylit,4.213,289.4032,-38.0036,97.7727,34.6768,28.62,0.9112,Waning Crescent,False
2024-07-23,18:32:00,14497.6365,Daylit,3.9803,289.4378,-37.7699,97.7819,34.6862,28.63,0.9111,Waning Crescent,False
2024-07-23,18:33:00,13789.3666,Daylit,3.7477,289.4727,-37.5362,97.7913,34.6956,28.64,0.9111,Waning Crescent,False
2024-07-23,18:34:00,13073.6868,Daylit,3.5151,289.5078,-37.3025,97.8009,34.705,28.65,0.911,Waning Crescent,False
2024-07-23,18:35:00,12350.0373,Daylit,3.2826,289.5434,-37.0688,97.8107,34.7144,28.66,0.911,Waning Crescent,False
2024-07-23,18:36:00,11617.7701,Daylit,3.0501,289.5792,-36.835,97.8207,34.7237,28.67,0.911,Waning Crescent,False
2024-07-23,18:37:00,10876.1279,Daylit,2.8177,289.6154,-36.6013,97.8308,34.7331,28.68,0.9109,Waning Crescent,False
2024-07-23,18:38:00,10124.2149,Daylit,2.5853,289.6519,-36.3675,97.8412,34.7425,28.68,0.9109,Waning Crescent,False
2024-07-23,18:39:00,9360.9573,Daylit,2.353,289.6887,-36.1338,97.8517,34.7519,28.69,0.9108,Waning Crescent,False
2024-07-23,18:40:00,8585.0466,Daylit,2.1208,289.7259,-35.9,97.8625,34.7613,28.7,0.9108,Waning Crescent,False
2024-07-23,18:41:00,7794.8566,Daylit,1.8885,289.7634,-35.6662,97.8734,34.7707,28.71,0.9107,Waning Crescent,False
2024-07-23,18:42:00,6988.3185,Daylit,1.6564,289.8012,-35.4324,97.8845,34.7801,28.72,0.9107,Waning Crescent,False
2024-07-23,18:43:00,6162.7186,Daylit,1.4243,289.8394,-35.1986,97.8958,34.7895,28.73,0.9106,Waning Crescent,False
2024-07-23,18:44:00,5314.3577,Daylit,1.1923,289.8779,-34.9647,97.9073,34.7988,28.73,0.9106,Waning Crescent,False
2024-07-23,18:45:00,4437.92,Daylit,0.9603,289.9167,-34.7309,97.9189,34.8082,28.74,0.9105,Waning Crescent,False
2024-07-23,18:46:00,3525.1741,Daylit,0.7284,289.9559,-34.497,97.9307,34.8176,28.75,0.9105,Waning Crescent,False
2024-07-23,18:47:00,2561.7976,Daylit,0.4965,289.9954,-34.2632,97.9427,34.827,28.76,0.9104,Waning Crescent,False
2024-07-23,18:48:00,1516.9755,Daylit,0.2647,290.0353,-34.0293,97.9549,34.8364,28.77,0.9104,Waning Crescent,False
