window_start,window_end,duration_min,threshold_lux,sunset,sunrise
2024-07-24 19:35:00,2024-07-25 03:21:00,467,0.14111818,18:48:59,06:22:05
2024-07-25 04:30:00,2024-07-25 05:30:00,61,0.14111818,18:48:49,06:22:15
